player,team,att,rec,rush_yds,recv_yds,tds,games,fantasy_points,Fpts_per_game
Phil Mafah,DAL,0,0,0,0,0,0,0,0
Elijah Mitchell,KC,0,0,0,0,0,0,0,0
Keilan Robinson,PHI,0,0,0,0,0,3,0,0
Devin Neal,NO,0,0,0,0,0,0,0,0
Jarquez Hunter,LAR,0,0,0,0,0,0,0,0
Israel Abanikanda,SF,0,0,0,0,0,0,0,0
Raheim Sanders,LAC,0,0,0,0,0,0,0,0
Jaydon Blue,DAL,0,0,0,0,0,0,0,0
Velus Jones Jr.,NO,3,1,11,8,0,2,0,0
Avery Williams,PHI,0,0,0,0,0,17,0,0
Gary Brightwell,CIN,0,0,0,0,0,1,0,0
Ja'Quinden Jackson,JAC,0,0,0,0,0,0,0,0
Keaontay Ingram,KC,0,0,0,0,0,1,0,0
Adam Prentice,FA,0,0,0,0,0,17,0,0
Shane Bannon,KC,0,0,0,0,0,0,0,0
Jay Finley,CIN,0,0,0,0,0,0,0,0
Willie Carter,CHI,0,0,0,0,0,0,0,0
Kenny Irons,CIN,0,0,0,0,0,0,0,0
Chad Simpson,WAS,0,0,0,0,0,0,0,0
Anthony Alridge,WAS,0,0,0,0,0,0,0,0
Dantrell Savage,CAR,0,0,0,0,0,0,0,0
Xavier Omon,SF,0,0,0,0,0,0,0,0
Garrett Mills,NE,0,0,0,0,0,0,0,0
Madison Hedgecock,NYG,0,0,0,0,0,0,0,0
Samkon Gado,TEN,0,0,0,0,0,0,0,0
John Kelly Jr.,FA,0,0,0,0,0,1,0,0
Nyheim Hines,FA,0,0,0,0,0,2,0,0
Taquan Mizzell,NYG,0,0,0,0,0,0,0,0
Trayveon Williams,NE,0,0,0,0,0,8,0,0
Khari Blasingame,FA,0,0,0,0,0,4,0,0
Andrew Beck,NYJ,0,0,0,0,0,4,0,0
Mike Weber,NYG,0,0,0,0,0,0,0,0
Jakob Johnson,HOU,0,0,0,0,0,3,0,0
Brennan Clay,DEN,0,0,0,0,0,0,0,0
Tim Flanders,NO,0,0,0,0,0,0,0,0
Lucas Scott,BAL,0,0,0,0,0,0,0,0
Dylan Laube,LV,1,0,0,0,0,6,-2,-0.3
